IDACCOUNT;USERNAME;NOMBRE_EJECUTIVO;EQUIPO;JEFE_AREA;NOMBRE_USUARIO_JEFE_AREA
2246-41;avlarrain;Alejandro Ignacio Larraín Valdés;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
6195-14;mmecheverria;María Fernanda Echeverría Montoya;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
3350-26;srbalmaceda;Sebastián Andrés Balmaceda Ríos;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
4446-91;csundurraga;Carolina Isabel Undurraga Soto;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
4758-69;gpvicuna;Gonzalo Esteban Vicuña Pérez;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
3049-22;alsanmartin;Ana Paula San Martín Loyola;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
2227-88;flearrzuriz;Felipe Joaquín Errázuriz Lagos;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
3317-19;cscovarrubias;Claudia Beatriz Covarrubias Silva;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
2130-12;rfdelrio;Rodrigo Patricio Del Río Fuentes;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
1524-16;mwarancibia;María José Arancibia Walker;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
3031-65;ckmontoya;Cristóbal Ignacio Montoya Klein;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
3807-56;dvlatorre;Daniela Sofía Latorre Valdés;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
3159-88;irbarrenechea;Ignacio Tomás Barrenechea Rojas;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
7043-57;vphuneeus;Verónica Alejandra Huneeus Prado;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
1316-23;mcgazmuri;Matías Felipe Gazmuri Correa;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
2723-22;pwfernandez;Paulina Andrea Fernández Wood;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
2618-70;rputrrutia;Ricardo Sebastián Urrutia Peña;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
1185-22;nseyzaguirre;Natalia Fernanda Eyzaguirre Soto;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
7045-54;jmchadwick;Javier Nicolás Chadwick Morales;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
4876-34;mtovalle;María Constanza Ovalle Tagle;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
7608-42;ehmatte;Esteban Alonso Matte Herrera;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
1999-27;lcvial;Lorena Marcela Vial Cifuentes;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
7866-39;tflabbe;Tomás Eduardo Labbé Fuenzalida;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
5151-45;frzanartu;Francisca Ignacia Zañartu Rivas;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
7663-73;hlhurtado;Héctor Manuel Hurtado Larraín;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
3900-33;cuvaldes;Camila Antonia Valdés Urrutia;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
4237-72;prirarrazaval;Pablo Andrés Irarrázaval Ríos;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
9281-72;msgarciahuidobro;María Paz García-Huidobro Silva;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
4773-29;jpmendendez;Joaquín Sebastián Menéndez Prado;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
3533-18;dlfontaine;Daniela Carolina Fontaine Lagos;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
8486-67;avlecaros;Alonso Martín Lecaros Vega;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
4762-21;mfmontt;María Ignacia Montt Ferrada;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
5188-13;frtocornal;Felipe Esteban Tocornal Ruiz;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
5672-65;aqsolar;Andrea Paulina Solar Quiroga;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
4589-38;vcalywin;Vicente Tomás Aylwin Cáceres;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
7248-55;pfleniz;Paula Verónica Léniz Figueroa;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
4960-97;mvbarros;Mauricio Andrés Barros Varela;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
8605-78;mcdelano;María Elena Délano Cruz;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
2567-85;iszaldivar;Ignacio Benjamín Zaldívar Soto;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
9738-38;cpbascunan;Claudia Patricia Bascuñán Puelma;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
4024-62;ckcifuentes;Cristian Eduardo Cifuentes Klein;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
2791-29;mdlarraechea;María Angélica Larraechea Díaz;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
3192-12;smfigueroa;Sebastián Ignacio Figueroa Montt;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
2472-23;npsubercaseaux;Natalia Beatriz Subercaseaux Prado;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
2274-85;rvprieto;Rodrigo Esteban Prieto Valenzuela;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
6064-68;amgazitua;Ana Sofía Gazitúa Morales;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
3182-35;lucorvalan;Luis Felipe Corvalán Urrutia;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
3378-86;mdibanez;María Loreto Ibáñez Del Solar;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
1854-92;glvergara;Gonzalo Patricio Vergara Lyon;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
8191-15;cmvillalobos;Catalina Andrea Villalobos Montt;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
1194-91;cmvillalobos;Catalina Andrea Villalobos Montt;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
7548-75;glvergara;Gonzalo Patricio Vergara Lyon;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
2282-13;mdibanez;María Loreto Ibáñez Del Solar;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
5961-86;lucorvalan;Luis Felipe Corvalán Urrutia;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
1537-63;amgazitua;Ana Sofía Gazitúa Morales;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
4122-84;rvprieto;Rodrigo Esteban Prieto Valenzuela;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
5705-57;npsubercaseaux;Natalia Beatriz Subercaseaux Prado;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
3046-51;smfigueroa;Sebastián Ignacio Figueroa Montt;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
4128-32;mdlarraechea;María Angélica Larraechea Díaz;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
4250-90;ckcifuentes;Cristian Eduardo Cifuentes Klein;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
7797-46;cpbascunan;Claudia Patricia Bascuñán Puelma;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
1374-47;iszaldivar;Ignacio Benjamín Zaldívar Soto;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
5591-55;mcdelano;María Elena Délano Cruz;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
4781-82;mvbarros;Mauricio Andrés Barros Varela;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
3496-59;pfleniz;Paula Verónica Léniz Figueroa;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
3328-82;vcalywin;Vicente Tomás Aylwin Cáceres;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
8240-27;aqsolar;Andrea Paulina Solar Quiroga;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
5444-25;frtocornal;Felipe Esteban Tocornal Ruiz;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
1662-55;mfmontt;María Ignacia Montt Ferrada;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
2256-96;avlecaros;Alonso Martín Lecaros Vega;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
